"COUNTRY","POPULATION (M)","GDP (B, USD)","G20 RANK","OECD RANK","ASIA RANK","OVERALL RANK","POST CITY","POST COUNTRY","TYPE OF POST","POST TYPE TITLE"
"China","1378.7","11199","2","","1","2","Abidjan","Cote d'Ivoire","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Zagreb","Croatia","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Havana","Cuba","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Nicosia","Cyprus","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Prague","Czech Republic","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Kinshasa","Democratic Republic of The Congo","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Copenhagen","Denmark","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Djibouti","Djibouti","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Roseau","Dominica","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Quito","Ecuador","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Cairo","Egypt","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Malabo","Equatorial Guinea","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Asmara","Eritrea","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Talinn","Estonia","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Addis Ababa","Ethiopia","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Suva","Fiji","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Helsinki","Finland","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Paris","France","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Libreville","Gabon","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Tbilisi","Georgia","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Berlin","Germany","Embassy / High Commission","Embassy"
