"post_city_country","send_country","post_city","post_country","post_type","post_title","send_country_iso","send_country_iso_num","post_country_iso","post_country_iso_num","send_lon","send_lat","post_city_lon","post_city_lat","full_geo_query","exact_post_lon","exact_post_lat"
"Abuja, Nigeria","Vietnam","Abuja","Nigeria","Embassy / High Commission","Embassy","VNM",704,"NGA",566,108.277199,14.058324,7.398574,9.0764785,"Vietnam, Embassy, Abuja, Nigeria",7.4986863,9.1010953
"Abuja, Nigeria","Sweden","Abuja","Nigeria","Embassy / High Commission","Embassy","SWE",752,"NGA",566,18.643501,60.128161,7.398574,9.0764785,"Sweden, Embassy, Abuja, Nigeria",7.5207029,9.0300529
"Abuja, Nigeria","Italy","Abuja","Nigeria","Embassy / High Commission","Embassy","ITA",380,"NGA",566,12.56738,41.87194,7.398574,9.0764785,"Italy, Embassy, Abuja, Nigeria",7.5208745,9.0292764
"Abuja, Nigeria","Spain","Abuja","Nigeria","Embassy / High Commission","Embassy","ESP",724,"NGA",566,-3.74922,40.463667,7.398574,9.0764785,"Spain, Embassy, Abuja, Nigeria",7.497273,9.0785569
"Abuja, Nigeria","Slovak Republic","Abuja","Nigeria","Embassy / High Commission","Embassy","SVK",703,"NGA",566,19.699024,48.669026,7.398574,9.0764785,"Slovak Republic, Embassy, Abuja, Nigeria",7.5217418,9.0419692
"Abuja, Nigeria","Sri Lanka","Abuja","Nigeria","Embassy / High Commission","High Commission","LKA",144,"NGA",566,80.771797,7.873054,7.398574,9.0764785,"Sri Lanka, High Commission, Abuja, Nigeria",79.8666906,6.9098132
"Abuja, Nigeria","Norway","Abuja","Nigeria","Embassy / High Commission","Embassy","NOR",578,"NGA",566,8.468946,60.472024,7.398574,9.0764785,"Norway, Embassy, Abuja, Nigeria",7.5192889,9.0273686
"Abuja, Nigeria","Turkey","Abuja","Nigeria","Embassy / High Commission","Embassy","TUR",792,"NGA",566,35.243322,38.963745,7.398574,9.0764785,"Turkey, Embassy, Abuja, Nigeria",7.471468,9.0382112
"Abuja, Nigeria","Indonesia","Abuja","Nigeria","Embassy / High Commission","Embassy","IDN",360,"NGA",566,113.921327,-0.789275,7.398574,9.0764785,"Indonesia, Embassy, Abuja, Nigeria",7.5003179,9.076693
"Abuja, Nigeria","Switzerland","Abuja","Nigeria","Embassy / High Commission","Embassy","CHE",756,"NGA",566,8.227512,46.818188,7.398574,9.0764785,"Switzerland, Embassy, Abuja, Nigeria",7.4826859,9.080799
"Abuja, Nigeria","Japan","Abuja","Nigeria","Embassy / High Commission","Embassy","JPN",392,"NGA",566,138.252924,36.204824,7.398574,9.0764785,"Japan, Embassy, Abuja, Nigeria",7.4984878,9.0787033
"Abuja, Nigeria","Taiwan*","Abuja","Nigeria","Other","Trade Mission","TWN",158,"NGA",566,120.960515,23.69781,7.398574,9.0764785,"Taiwan*, Trade Mission, Abuja, Nigeria",7.4928991,9.0925013
"Abuja, Nigeria","Thailand","Abuja","Nigeria","Embassy / High Commission","Embassy","THA",764,"NGA",566,100.992541,15.870032,7.398574,9.0764785,"Thailand, Embassy, Abuja, Nigeria",7.48356,9.10669
"Abuja, Nigeria","Philippines","Abuja","Nigeria","Embassy / High Commission","Embassy","PHL",608,"NGA",566,121.774017,12.879721,7.398574,9.0764785,"Philippines, Embassy, Abuja, Nigeria",7.4855283,9.0997947
"Abuja, Nigeria","India","Abuja","Nigeria","Embassy / High Commission","High Commission","IND",356,"NGA",566,78.96288,20.593684,7.398574,9.0764785,"India, High Commission, Abuja, Nigeria",7.457707,9.0448614
"Abuja, Nigeria","Malaysia","Abuja","Nigeria","Embassy / High Commission","High Commission","MYS",458,"NGA",566,101.975766,4.210484,7.398574,9.0764785,"Malaysia, High Commission, Abuja, Nigeria",7.49908,9.09431
"Abuja, Nigeria","Bangladesh","Abuja","Nigeria","Embassy / High Commission","High Commission","BGD",50,"NGA",566,90.356331,23.684994,7.398574,9.0764785,"Bangladesh, High Commission, Abuja, Nigeria",7.5168219,9.0262271
"Abuja, Nigeria","Mexico","Abuja","Nigeria","Embassy / High Commission","Embassy","MEX",484,"NGA",566,-102.552784,23.634501,7.398574,9.0764785,"Mexico, Embassy, Abuja, Nigeria",7.500034,9.0749892
"Abuja, Nigeria","Netherlands","Abuja","Nigeria","Embassy / High Commission","Embassy","NLD",528,"NGA",566,5.291266,52.132633,7.398574,9.0764785,"Netherlands, Embassy, Abuja, Nigeria",7.4617698,9.0460786
"Abuja, Nigeria","Saudi Arabia","Abuja","Nigeria","Embassy / High Commission","Embassy","SAU",682,"NGA",566,45.079162,23.885942,7.398574,9.0764785,"Saudi Arabia, Embassy, Abuja, Nigeria",7.4778251,9.1001117
