"send_country","meta_population_millions","meta_gdp_usd_billions"
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Belgium",11.4,532
"Bhutan",0.8,3
"Bhutan",0.8,3
"Bhutan",0.8,3
"Bhutan",0.8,3
"Bhutan",0.8,3
"Bhutan",0.8,3
