"send_country","rank_g20","rank_OECD","rank_asia","rank_overall"
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Sweden",NA,22,NA,33
"Switzerland",NA,12,NA,17
"Switzerland",NA,12,NA,17
"Switzerland",NA,12,NA,17
"Switzerland",NA,12,NA,17
"Switzerland",NA,12,NA,17
"Switzerland",NA,12,NA,17
"Switzerland",NA,12,NA,17
"Switzerland",NA,12,NA,17
"Switzerland",NA,12,NA,17
"Switzerland",NA,12,NA,17
"Switzerland",NA,12,NA,17
"Switzerland",NA,12,NA,17
"Switzerland",NA,12,NA,17
"Switzerland",NA,12,NA,17
